sex,length,diameter,heigth,whole_weight,shucked_weight,viscera_weight,shell_weight,rings
M,0.465,0.36,0.11,0.4955,0.2665,0.085,0.121,7
I,0.465,0.355,0.09,0.4325,0.2005,0.074,0.1275,9
F,0.475,0.38,0.14,0.689,0.3165,0.1315,0.1955,7
I,0.48,0.35,0.135,0.5465,0.2735,0.0995,0.158,8
M,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635,8
I,0.49,0.37,0.11,0.538,0.271,0.1035,0.139,8
M,0.5,0.39,0.135,0.7815,0.361,0.1575,0.2385,9
F,0.5,0.38,0.14,0.6355,0.277,0.143,0.1785,8
M,0.505,0.385,0.13,0.6435,0.3135,0.149,0.1515,7
M,0.525,0.385,0.1,0.5115,0.246,0.1005,0.1455,8
M,0.535,0.42,0.125,0.738,0.355,0.1895,0.1795,8
F,0.535,0.42,0.13,0.699,0.3125,0.1565,0.2035,8
F,0.54,0.385,0.14,0.7655,0.3265,0.116,0.2365,10
F,0.54,0.42,0.13,0.7505,0.368,0.1675,0.1845,9
F,0.545,0.43,0.16,0.844,0.3945,0.1855,0.231,9
M,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,9
I,0.55,0.42,0.115,0.668,0.2925,0.137,0.209,11
F,0.565,0.44,0.135,0.83,0.393,0.1735,0.238,9
M,0.58,0.45,0.12,0.8685,0.418,0.1475,0.2605,8
F,0.58,0.435,0.15,0.839,0.3485,0.207,0.192,7
F,0.585,0.485,0.15,1.079,0.4145,0.2115,0.356,11
M,0.595,0.465,0.15,0.919,0.4335,0.1765,0.262,9
F,0.6,0.47,0.19,1.1345,0.492,0.2595,0.3375,10
F,0.61,0.43,0.14,0.909,0.438,0.2,0.22,8
M,0.61,0.48,0.165,1.2435,0.5575,0.2675,0.372,8
F,0.62,0.49,0.16,1.056,0.493,0.244,0.2725,9
M,0.645,0.495,0.15,1.2095,0.603,0.2225,0.339,9
M,0.65,0.5,0.14,1.238,0.6165,0.2355,0.32,8
F,0.665,0.525,0.21,1.644,0.818,0.3395,0.4275,10
M,0.685,0.55,0.2,1.7725,0.813,0.387,0.49,11
F,0.69,0.54,0.195,1.2525,0.73,0.3975,0.462,12
F,0.705,0.57,0.185,1.761,0.747,0.3725,0.488,10
F,0.71,0.5,0.15,1.3165,0.6835,0.2815,0.28,10
M,0.72,0.585,0.22,1.914,0.9155,0.448,0.479,11
F,0.72,0.575,0.215,2.1,0.8565,0.4825,0.602,12
F,0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935,10
M,0.775,0.57,0.22,2.032,0.735,0.4755,0.6585,17
F,0.505,0.39,0.115,0.66,0.3045,0.1555,0.175,8
M,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245,10
F,0.505,0.385,0.115,0.616,0.243,0.1075,0.21,11
I,0.405,0.305,0.09,0.2825,0.114,0.0575,0.095,7
M,0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095,7
M,0.5,0.39,0.145,0.651,0.273,0.132,0.22,11
M,0.425,0.33,0.08,0.361,0.134,0.0825,0.125,7
M,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,8
F,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,10
I,0.37,0.29,0.1,0.25,0.1025,0.0505,0.085,10
M,0.5,0.38,0.155,0.66,0.2655,0.1365,0.215,19
I,0.41,0.31,0.11,0.315,0.124,0.082,0.095,9
M,0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,9
M,0.525,0.425,0.12,0.702,0.3335,0.1465,0.22,12
F,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,10
F,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,13
M,0.475,0.36,0.12,0.578,0.2825,0.12,0.17,8
I,0.415,0.325,0.1,0.385,0.167,0.08,0.125,7
I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,8
F,0.48,0.405,0.13,0.6375,0.277,0.1445,0.21,10
F,0.52,0.425,0.15,0.813,0.385,0.2015,0.23,10
M,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,9
F,0.58,0.455,0.12,0.94,0.399,0.257,0.265,11
M,0.59,0.49,0.135,1.008,0.422,0.2245,0.285,11
F,0.55,0.415,0.135,0.775,0.302,0.179,0.26,23
F,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12
F,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,16
M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11
M,0.47,0.375,0.13,0.5795,0.2145,0.164,0.195,13
F,0.435,0.35,0.11,0.384,0.143,0.1005,0.125,13
M,0.35,0.265,0.11,0.2965,0.1365,0.063,0.085,7
I,0.315,0.24,0.07,0.137,0.0545,0.0315,0.04,8
M,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,16
F,0.58,0.475,0.135,0.925,0.391,0.165,0.275,14
M,0.575,0.435,0.15,0.805,0.293,0.1625,0.27,17
M,0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,13
M,0.515,0.42,0.14,0.769,0.2505,0.154,0.29,13
F,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,12
F,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205,15
I,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095,10
M,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,14
M,0.53,0.435,0.135,0.7365,0.3275,0.1315,0.22,12
I,0.395,0.325,0.105,0.306,0.111,0.0735,0.095,8
F,0.665,0.535,0.19,1.496,0.5775,0.2815,0.475,17
F,0.415,0.305,0.105,0.3605,0.12,0.082,0.1,10
M,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11
M,0.475,0.395,0.135,0.592,0.2465,0.1645,0.2,13
F,0.525,0.425,0.145,0.7995,0.3345,0.209,0.24,15
I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15
I,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115,9
M,0.59,0.46,0.155,0.906,0.327,0.1485,0.335,15
F,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,9
M,0.695,0.55,0.22,1.5515,0.566,0.3835,0.445,13
F,0.8,0.63,0.195,2.526,0.933,0.59,0.62,23
M,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,23
F,0.565,0.48,0.175,0.957,0.3885,0.215,0.275,18
M,0.56,0.455,0.165,0.86,0.4015,0.1695,0.245,11
M,0.655,0.485,0.195,1.62,0.6275,0.358,0.485,17
M,0.64,0.52,0.2,1.407,0.566,0.304,0.455,17
F,0.59,0.47,0.17,0.9,0.355,0.1905,0.25,11
I,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045,7
I,0.255,0.185,0.07,0.075,0.028,0.018,0.025,6
I,0.17,0.125,0.055,0.0235,0.009,0.0055,0.008,6
M,0.67,0.55,0.17,1.247,0.472,0.2455,0.4,21
F,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,17
F,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,13
M,0.505,0.4,0.13,0.764,0.3035,0.189,0.2175,11
M,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515,16
F,0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149,9
F,0.515,0.435,0.17,0.631,0.2765,0.111,0.216,12
M,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,19
M,0.7,0.53,0.19,1.3185,0.548,0.233,0.42,18
F,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525,17
M,0.635,0.495,0.15,1.081,0.4825,0.242,0.31,11
M,0.555,0.44,0.135,0.9025,0.3805,0.2105,0.28,13
M,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,13
M,0.585,0.455,0.125,1.027,0.391,0.212,0.25,17
F,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,20
F,0.645,0.525,0.2,1.449,0.601,0.2565,0.505,13
F,0.545,0.44,0.175,0.7745,0.2985,0.1875,0.265,11
M,0.55,0.45,0.155,0.7895,0.343,0.159,0.25,12
F,0.66,0.525,0.205,1.3665,0.5005,0.291,0.41,18
M,0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,18
F,0.6,0.47,0.2,1.031,0.392,0.2035,0.29,15
F,0.63,0.505,0.165,1.065,0.4595,0.216,0.315,12
M,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,19
M,0.465,0.34,0.105,0.486,0.231,0.1035,0.1225,9
I,0.475,0.385,0.11,0.5735,0.311,0.1025,0.136,7
I,0.475,0.355,0.105,0.468,0.201,0.1115,0.12,8
M,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,8
M,0.5,0.375,0.145,0.6215,0.274,0.166,0.1485,7
I,0.5,0.38,0.11,0.494,0.218,0.09,0.1325,7
I,0.505,0.385,0.12,0.6005,0.239,0.142,0.185,7
M,0.515,0.395,0.12,0.646,0.285,0.1365,0.172,9
M,0.525,0.415,0.135,0.7945,0.394,0.189,0.202,7
M,0.525,0.425,0.125,0.812,0.4035,0.1705,0.195,8
F,0.53,0.42,0.17,0.828,0.41,0.208,0.1505,6
M,0.53,0.41,0.14,0.681,0.3095,0.1415,0.1835,6
F,0.53,0.405,0.15,0.889,0.4055,0.2275,0.215,8
M,0.54,0.435,0.14,0.7345,0.33,0.1595,0.213,9
F,0.55,0.425,0.125,0.964,0.5475,0.159,0.215,8
F,0.555,0.425,0.14,0.963,0.44,0.224,0.24,7
F,0.57,0.445,0.15,0.995,0.504,0.185,0.2505,9
F,0.57,0.435,0.14,0.8585,0.3905,0.196,0.2295,8
M,0.575,0.45,0.155,0.948,0.429,0.206,0.259,7
F,0.58,0.445,0.145,0.888,0.41,0.1815,0.2425,8
F,0.585,0.45,0.16,0.9045,0.405,0.2215,0.2335,8
M,0.59,0.465,0.14,1.046,0.4695,0.263,0.263,7
F,0.595,0.47,0.155,1.1775,0.542,0.269,0.31,9
F,0.595,0.465,0.15,1.0765,0.491,0.22,0.287,9
F,0.595,0.465,0.15,1.0255,0.412,0.2745,0.289,11
F,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248,8
F,0.6,0.46,0.15,1.235,0.6025,0.274,0.29,8
M,0.6,0.46,0.15,1.247,0.5335,0.2735,0.29,9
M,0.61,0.48,0.15,1.1495,0.564,0.274,0.264,8
F,0.615,0.485,0.16,1.1575,0.5005,0.2495,0.315,10
F,0.615,0.5,0.165,1.327,0.6,0.3015,0.355,10
M,0.615,0.47,0.155,1.2,0.5085,0.32,0.292,8
F,0.62,0.51,0.175,1.2705,0.5415,0.323,0.3225,9
F,0.62,0.485,0.175,1.2155,0.545,0.253,0.345,10
F,0.62,0.475,0.16,1.3245,0.6865,0.233,0.3275,9
M,0.625,0.48,0.17,1.3555,0.671,0.268,0.3385,10
F,0.625,0.49,0.165,1.127,0.477,0.2365,0.3185,9
F,0.625,0.49,0.175,1.1075,0.4485,0.2165,0.3595,8
F,0.63,0.495,0.2,1.4255,0.659,0.336,0.38,11
F,0.63,0.495,0.145,1.147,0.5455,0.266,0.2885,9
M,0.63,0.48,0.165,1.286,0.604,0.271,0.35,8
F,0.635,0.495,0.18,1.596,0.617,0.317,0.37,11
F,0.635,0.495,0.195,1.297,0.556,0.2985,0.37,11
M,0.645,0.49,0.16,1.251,0.5355,0.3345,0.3165,9
M,0.645,0.5,0.175,1.5105,0.6735,0.3755,0.3775,12
F,0.65,0.5,0.185,1.4415,0.741,0.2955,0.341,9
M,0.67,0.52,0.19,1.6385,0.8115,0.369,0.391,9
F,0.69,0.545,0.205,1.933,0.7855,0.429,0.498,13
M,0.69,0.54,0.185,1.71,0.7725,0.3855,0.4325,8
F,0.695,0.55,0.155,1.8495,0.767,0.442,0.4175,10
M,0.695,0.525,0.175,1.742,0.696,0.389,0.505,12
F,0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165,13
F,0.705,0.56,0.205,2.381,0.9915,0.5005,0.624,10
M,0.765,0.585,0.18,2.398,1.128,0.512,0.5335,12
M,0.77,0.6,0.215,2.1945,1.0515,0.482,0.584,10
I,0.22,0.16,0.05,0.049,0.0215,0.01,0.015,4
I,0.275,0.205,0.07,0.1055,0.495,0.019,0.0315,5
I,0.29,0.21,0.06,0.1045,0.0415,0.022,0.035,5
I,0.33,0.24,0.075,0.163,0.0745,0.033,0.048,6
I,0.355,0.285,0.095,0.2275,0.0955,0.0475,0.0715,6
I,0.375,0.29,0.1,0.219,0.0925,0.038,0.075,6
I,0.415,0.315,0.1,0.3645,0.1765,0.0795,0.095,8
I,0.425,0.33,0.115,0.3265,0.1315,0.077,0.103,6
I,0.425,0.34,0.1,0.3515,0.1625,0.082,0.094,7
I,0.43,0.32,0.1,0.3465,0.1635,0.08,0.09,7
I,0.44,0.34,0.1,0.407,0.209,0.0735,0.103,7
I,0.44,0.335,0.115,0.4215,0.173,0.0765,0.113,7
I,0.46,0.345,0.11,0.3755,0.1525,0.058,0.125,7
I,0.46,0.37,0.12,0.5335,0.2645,0.108,0.1345,6
I,0.465,0.355,0.105,0.442,0.2085,0.0975,0.1185,7
I,0.475,0.365,0.1,0.1315,0.2025,0.0875,0.123,7
I,0.475,0.375,0.115,0.5205,0.233,0.119,0.1455,7
I,0.485,0.375,0.13,0.5535,0.266,0.112,0.157,8
I,0.49,0.375,0.125,0.5445,0.279,0.115,0.13,8
M,0.49,0.38,0.11,0.554,0.2935,0.1005,0.15,8
I,0.495,0.38,0.12,0.512,0.233,0.1205,0.136,7
I,0.5,0.39,0.125,0.583,0.294,0.132,0.1605,8
M,0.5,0.38,0.12,0.5765,0.273,0.135,0.145,9
M,0.505,0.4,0.135,0.723,0.377,0.149,0.178,7
I,0.51,0.395,0.155,0.5395,0.2465,0.1085,0.167,8
I,0.51,0.385,0.15,0.625,0.3095,0.119,0.1725,8
I,0.515,0.4,0.125,0.5925,0.265,0.1175,0.168,9
I,0.52,0.395,0.135,0.633,0.2985,0.1295,0.175,9
F,0.545,0.43,0.14,0.832,0.4355,0.17,0.201,9
M,0.545,0.42,0.145,0.778,0.3745,0.1545,0.205,7
M,0.545,0.42,0.12,0.7865,0.403,0.185,0.17,7
F,0.545,0.4,0.14,0.778,0.368,0.215,0.18,9
I,0.55,0.42,0.13,0.636,0.294,0.144,0.1755,8
F,0.55,0.44,0.135,0.8435,0.434,0.1995,0.185,8
I,0.555,0.425,0.13,0.648,0.2835,0.133,0.2105,8
M,0.565,0.43,0.13,0.784,0.3495,0.1885,0.213,9
F,0.57,0.45,0.18,0.908,0.4015,0.217,0.255,9
M,0.57,0.45,0.135,1.02,0.546,0.204,0.25,9
F,0.57,0.43,0.16,0.811,0.3875,0.159,0.2285,9
F,0.575,0.48,0.15,0.897,0.4235,0.1905,0.248,8
M,0.58,0.455,0.13,0.852,0.41,0.1725,0.225,8
F,0.585,0.45,0.15,0.938,0.467,0.203,0.225,7
F,0.585,0.435,0.14,0.6955,0.3085,0.129,0.2245,8
M,0.59,0.47,0.15,0.861,0.413,0.164,0.249,8
M,0.59,0.46,0.14,1.004,0.496,0.2165,0.26,9
F,0.59,0.46,0.16,1.0115,0.445,0.2615,0.2565,8
F,0.595,0.465,0.15,1.1005,0.5415,0.166,0.265,8
M,0.595,0.47,0.165,1.108,0.4915,0.2325,0.3345,9
M,0.595,0.46,0.14,0.852,0.4215,0.2255,0.227,9
M,0.6,0.49,0.21,1.9875,1.005,0.419,0.491,10
I,0.55,0.425,0.13,0.664,0.2695,0.163,0.21,8
F,0.55,0.435,0.14,0.745,0.347,0.174,0.2265,9
I,0.56,0.43,0.13,0.728,0.3355,0.1435,0.2175,8
I,0.56,0.435,0.13,0.777,0.354,0.173,0.222,9
F,0.575,0.425,0.15,0.8765,0.455,0.18,0.228,8
I,0.575,0.455,0.16,0.9895,0.495,0.195,0.246,9
M,0.575,0.45,0.165,0.9655,0.498,0.19,0.23,8
M,0.58,0.465,0.15,0.9065,0.371,0.1965,0.29,8
M,0.58,0.46,0.15,1.049,0.5205,0.1935,0.305,10
F,0.58,0.45,0.17,0.9705,0.4615,0.232,0.248,9
F,0.58,0.45,0.15,0.92,0.393,0.212,0.2895,9
M,0.58,0.445,0.15,0.9525,0.4315,0.1945,0.287,11
F,0.58,0.44,0.125,0.7855,0.363,0.1955,0.195,11
I,0.585,0.45,0.135,0.855,0.3795,0.187,0.26,9
M,0.59,0.5,0.15,1.142,0.485,0.265,0.345,9
I,0.59,0.46,0.125,0.755,0.334,0.15,0.238,9
I,0.59,0.475,0.145,0.9745,0.4675,0.207,0.259,10
M,0.595,0.47,0.155,1.2015,0.492,0.3865,0.265,10
M,0.595,0.46,0.17,1.1295,0.57,0.2555,0.265,10
I,0.6,0.445,0.135,0.9205,0.445,0.2035,0.253,9
F,0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,10
M,0.6,0.45,0.195,1.34,0.617,0.3255,0.3605,10
F,0.6,0.45,0.15,0.9625,0.4375,0.2225,0.2775,9
M,0.6,0.465,0.165,1.0475,0.465,0.2345,0.315,11
F,0.605,0.495,0.17,1.0915,0.4365,0.2715,0.335,13
M,0.605,0.49,0.18,1.167,0.457,0.29,0.3745,9
I,0.605,0.48,0.155,0.9995,0.425,0.1985,0.3,10
I,0.61,0.425,0.155,1.0485,0.507,0.1955,0.274,11
F,0.61,0.47,0.195,1.2735,0.469,0.3315,0.398,12
M,0.61,0.48,0.14,1.0625,0.516,0.225,0.2915,11
I,0.61,0.49,0.16,1.1545,0.5865,0.2385,0.2915,11
F,0.615,0.475,0.175,1.194,0.559,0.259,0.3165,11
F,0.615,0.515,0.135,1.1215,0.545,0.2305,0.29,9
M,0.615,0.455,0.15,0.9335,0.382,0.247,0.2615,10
F,0.615,0.495,0.165,1.198,0.5415,0.2865,0.3185,10
F,0.62,0.475,0.15,0.9545,0.455,0.1865,0.277,9
M,0.62,0.475,0.195,1.3585,0.5935,0.3365,0.3745,10
M,0.625,0.495,0.175,1.2075,0.531,0.281,0.3525,11
M,0.625,0.515,0.165,1.217,0.667,0.2065,0.3115,10
F,0.625,0.5,0.16,1.217,0.5725,0.207,0.355,11
F,0.625,0.49,0.145,0.92,0.437,0.1735,0.28,10
M,0.625,0.49,0.12,0.8765,0.456,0.18,0.233,10
F,0.63,0.48,0.165,1.2615,0.5505,0.277,0.3885,10
M,0.63,0.53,0.18,1.2795,0.618,0.256,0.315,9
M,0.35,0.265,0.09,0.2265,0.0995,0.0575,0.065,6
M,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,9
I,0.51,0.405,0.12,0.61,0.229,0.131,0.235,11
F,0.49,0.38,0.13,0.539,0.229,0.1355,0.165,12
F,0.505,0.41,0.135,0.657,0.291,0.133,0.195,15
M,0.38,0.3,0.1,0.2505,0.106,0.0535,0.0775,8
I,0.27,0.195,0.07,0.102,0.045,0.0135,0.034,8
F,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,7
M,0.5,0.385,0.135,0.551,0.2245,0.0715,0.206,11
M,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,10
M,0.565,0.44,0.115,0.9185,0.404,0.1785,0.29,11
F,0.67,0.545,0.175,1.707,0.6995,0.387,0.575,13
F,0.59,0.415,0.15,0.8805,0.3645,0.234,0.235,11
F,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6
F,0.51,0.385,0.135,0.632,0.282,0.145,0.17,8
M,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,16
M,0.55,0.405,0.15,0.9235,0.412,0.2135,0.24,7
I,0.2,0.145,0.025,0.0345,0.011,0.0075,0.01,5
M,0.65,0.515,0.18,1.3315,0.5665,0.347,0.405,13
F,0.525,0.405,0.115,0.72,0.3105,0.1915,0.2,14
M,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,20
F,0.61,0.47,0.16,1.017,0.426,0.2255,0.32,12
F,0.545,0.405,0.175,0.98,0.2585,0.207,0.38,18
I,0.325,0.245,0.075,0.1495,0.0605,0.033,0.045,5
I,0.31,0.235,0.075,0.1515,0.056,0.0315,0.05,7
M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
F,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,9
F,0.505,0.405,0.16,0.6835,0.271,0.145,0.215,10
F,0.385,0.3,0.1,0.2725,0.1115,0.057,0.08,6
F,0.62,0.485,0.22,1.511,0.5095,0.284,0.51,17
F,0.635,0.505,0.185,1.3035,0.501,0.295,0.41,17
F,0.665,0.53,0.185,1.3955,0.456,0.3205,0.49,15
M,0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07,9
I,0.295,0.215,0.075,0.116,0.037,0.0295,0.04,8
I,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175,15
I,0.32,0.25,0.08,0.1565,0.057,0.034,0.06,9
I,0.43,0.34,0.125,0.384,0.1375,0.061,0.146,14
M,0.565,0.45,0.14,1.0055,0.3785,0.244,0.265,12
F,0.6,0.48,0.165,1.1345,0.4535,0.27,0.335,10
F,0.585,0.46,0.17,1.0835,0.3745,0.326,0.325,14
F,0.555,0.42,0.14,0.868,0.33,0.243,0.21,13
F,0.57,0.495,0.16,1.0915,0.452,0.275,0.315,14
F,0.62,0.485,0.175,1.271,0.531,0.3075,0.37,11
M,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545,16
M,0.425,0.34,0.12,0.388,0.149,0.087,0.125,10
F,0.64,0.505,0.19,1.2355,0.4435,0.3105,0.365,14
M,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,16
M,0.5,0.4,0.145,0.6025,0.216,0.138,0.21,11
M,0.385,0.305,0.09,0.2775,0.109,0.0515,0.1,9
M,0.52,0.435,0.195,0.973,0.2985,0.2135,0.355,18
M,0.52,0.415,0.175,0.753,0.258,0.171,0.255,8
M,0.64,0.525,0.2,1.3765,0.44,0.3075,0.47,16
I,0.44,0.35,0.12,0.375,0.1425,0.0965,0.115,9
F,0.42,0.32,0.13,0.4135,0.1645,0.106,0.119,10
F,0.45,0.35,0.135,0.56,0.231,0.137,0.145,13
I,0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115,9
F,0.64,0.505,0.19,1.2765,0.4835,0.328,0.4,12
M,0.57,0.455,0.15,0.96,0.387,0.2385,0.275,11
M,0.41,0.325,0.12,0.3745,0.158,0.081,0.125,12
M,0.485,0.41,0.15,0.696,0.2405,0.1625,0.265,13
F,0.61,0.48,0.19,1.2955,0.5215,0.3225,0.365,12
F,0.59,0.485,0.205,1.2315,0.4525,0.238,0.42,13
M,0.665,0.535,0.155,1.383,0.596,0.2565,0.485,14
I,0.345,0.285,0.1,0.2225,0.0865,0.058,0.075,8
M,0.635,0.51,0.155,1.156,0.428,0.289,0.315,18
M,0.695,0.53,0.15,1.477,0.6375,0.3025,0.43,14
F,0.69,0.54,0.185,1.5715,0.6935,0.318,0.47,15
M,0.555,0.435,0.135,0.858,0.377,0.1585,0.29,15
M,0.65,0.525,0.19,1.4995,0.6265,0.4005,0.395,14
M,0.635,0.48,0.19,1.467,0.5825,0.303,0.42,15
F,0.655,0.51,0.16,1.092,0.396,0.2825,0.37,14
F,0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,19
F,0.695,0.55,0.16,1.6365,0.694,0.3005,0.44,13
M,0.55,0.435,0.16,0.906,0.342,0.219,0.295,13
F,0.61,0.495,0.19,1.213,0.464,0.306,0.365,15
M,0.595,0.5,0.165,1.06,0.402,0.28,0.275,11
M,0.3,0.24,0.09,0.161,0.0725,0.039,0.05,6
F,0.435,0.35,0.125,0.459,0.197,0.1145,0.145,9
I,0.455,0.375,0.125,0.533,0.233,0.106,0.185,8
M,0.48,0.38,0.13,0.6175,0.3,0.142,0.175,12
I,0.43,0.35,0.105,0.366,0.1705,0.0855,0.11,6
F,0.435,0.35,0.105,0.4195,0.194,0.1005,0.13,7
I,0.3,0.23,0.075,0.15,0.0605,0.042,0.045,5
F,0.575,0.48,0.15,0.8745,0.375,0.193,0.29,12
M,0.505,0.385,0.11,0.655,0.3185,0.15,0.185,9
M,0.455,0.375,0.125,0.484,0.2155,0.102,0.165,7
M,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39,18
F,0.56,0.435,0.125,0.8775,0.3345,0.2145,0.29,13
F,0.645,0.52,0.19,1.3105,0.58,0.288,0.37,12
F,0.595,0.475,0.165,1.148,0.444,0.214,0.37,10
M,0.6,0.475,0.15,1.089,0.5195,0.223,0.292,11
M,0.61,0.47,0.155,1.0325,0.497,0.2175,0.2785,9
F,0.63,0.475,0.15,1.172,0.536,0.254,0.316,11
M,0.64,0.51,0.17,1.3715,0.567,0.307,0.409,10
F,0.65,0.545,0.185,1.5055,0.6565,0.341,0.43,10
M,0.71,0.55,0.2,1.9045,0.882,0.44,0.5,13
M,0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235,13
I,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,4
I,0.28,0.21,0.065,0.111,0.0425,0.0285,0.03,6
I,0.325,0.24,0.075,0.152,0.065,0.0305,0.045,6
I,0.35,0.265,0.095,0.199,0.073,0.049,0.06,5
I,0.36,0.27,0.09,0.219,0.097,0.0405,0.065,6
I,0.365,0.27,0.105,0.2155,0.0915,0.0475,0.063,6
I,0.37,0.28,0.09,0.2565,0.1255,0.0645,0.0645,6
I,0.375,0.285,0.09,0.257,0.1045,0.062,0.075,7
I,0.38,0.275,0.095,0.2505,0.0945,0.0655,0.075,6
I,0.395,0.3,0.09,0.279,0.134,0.049,0.075,8
I,0.43,0.335,0.105,0.378,0.188,0.0785,0.09,6
I,0.44,0.35,0.125,0.456,0.21,0.0955,0.131,8
I,0.465,0.37,0.1,0.5055,0.234,0.11,0.14,7
F,0.465,0.355,0.115,0.4705,0.1955,0.118,0.126,7
M,0.48,0.37,0.13,0.643,0.349,0.1155,0.135,8
I,0.485,0.37,0.1,0.513,0.219,0.1075,0.13,7
F,0.49,0.4,0.115,0.569,0.256,0.1325,0.145,9
I,0.495,0.4,0.145,0.578,0.2545,0.1305,0.1645,8
I,0.5,0.385,0.11,0.596,0.3015,0.104,0.151,8
F,0.505,0.39,0.12,0.5725,0.2555,0.1325,0.146,8
M,0.52,0.39,0.12,0.6435,0.2885,0.157,0.161,7
M,0.52,0.395,0.125,0.8115,0.4035,0.166,0.2,7
F,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7
M,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,8
F,0.555,0.44,0.145,0.8815,0.43,0.1975,0.2155,8
F,0.555,0.42,0.11,0.931,0.4445,0.171,0.225,8
F,0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815,8
M,0.6,0.475,0.155,1.1385,0.502,0.2295,0.31,9
F,0.61,0.48,0.16,1.234,0.598,0.238,0.315,12
F,0.61,0.495,0.175,1.2635,0.53,0.315,0.3455,10
F,0.61,0.47,0.16,1.0745,0.4925,0.236,0.29,8
M,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365,8
M,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,9
F,0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345,11
F,0.625,0.47,0.17,1.255,0.525,0.2415,0.405,10
M,0.625,0.485,0.17,1.437,0.5855,0.293,0.475,11
M,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295,10
F,0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353,9
M,0.64,0.5,0.17,1.4545,0.642,0.3575,0.354,9
M,0.66,0.525,0.18,1.478,0.5815,0.381,0.372,10
F,0.665,0.52,0.165,1.6885,0.7295,0.407,0.4265,11
F,0.715,0.585,0.23,2.0725,0.8655,0.4095,0.565,10
M,0.72,0.565,0.2,1.787,0.718,0.385,0.529,11
F,0.725,0.58,0.185,1.523,0.8045,0.3595,0.4375,9
I,0.165,0.12,0.05,0.021,0.0075,0.0045,0.014,3
